sampnum,number,nan
statnum,number,nan
position,on.rosette,nan
time,seconds,nan
wireout,metres,nan
lat,nan
lon,nan
bottle_number,number,nan
bottle_qc_flag,woce_table_4.8,9
sbe35temp,degc,nan
sbe35flag,woce_table_4.9,9
botpsal,pss-78,nan
botpsalflag,woce_table_4.9,9
botoxy_per_l,umol/l,nan
botoxy,umol/kg,nan
botoxyflag,woce_table_4.9,9
botoxyden,kg/m3,nan
botoxya_per_l,umol/l,nan
botoxya,umol/kg,nan
botoxyflaga,woce_table_4.9,9
botoxytempa,degc,nan
botoxydena,kg/m3,nan
botoxyb_per_l,umol/l,nan
botoxyb,umol/kg,nan
botoxyflagb,woce_table_4.9,9
botoxytempb,degc,nan
botoxydenb,kg/m3,nan
upress,dbar,nan
utemp,degc90,nan
utemp1,degc90,nan
utemp2,degc90,nan
ucond,mS/cm,nan
ucond1,mS/cm,nan
ucond2,mS/cm,nan
uasal,g/kg,nan
uasal1,g/kg,nan
uasal2,g/kg,nan
upsal,pss-78,nan
upsal1,pss-78,nan
upsal2,pss-78,nan
upotemp,degc90,nan
upotemp1,degc90,nan
upotemp2,degc90,nan
uoxygen,umol/kg,nan
uoxygen1,umol/kg,nan
uoxygen2,umol/kg,nan
ufluor,ug/l,nan
udepth,metres,nan
utransmittance,percent,nan
silc,umol/l,nan
silc_flag,woce_table_4.9,9
phos,umol/l,nan
phos_flag,woce_table_4.9,9
totnit,umol/l,nan
totnit_flag,woce_table_4.9,9
no2,umol/l,nan
no2_flag,woce_table_4.9,9
del18o,per_mil,nan
del18o_flag,woce_table_4.9,9
tempgrad,degc90/10dbar,nan
condgrad,mS/cm/10dbar,nan
oxygengrad,umol/kg/10dbar,nan
